TITLE,ARTIST,RELEASE YEAR,DURATION,GENRE,URL
Creepin,Weeknd,2022,3:41,R&B/Soul,
Die For you,Weeknd,2016,4:20,R&B/Soul,
Starboy,Weeknd,2016,3:50,R&B/Soul,
Blinding Lights,Weeknd,2022,3:20,R&B/Soul,
Save Your Tear,Weeknd,2022,3:35,R&B/Soul,
Call Out My name,Weeknd,2018,3:48,R&B/Soul,
In Your Eyes,Weeknd,2022,3:57,R&B/Soul,
I Was Never There,Weeknd,2018,4:01,R&B/Soul,
reminder,Weeknd,2016,3:38,R&B/Soul,
The Hills,Weeknd,2015,4:02,R&B/Soul,
Hotline Bling,Drake,2016,4:56,Hip-Hop /Rap,
God's Plan,Drake,2018,5:57,Hip-Hop /Rap,
Started From the Bottom,Drake,2013,5:21,Hip-Hop /Rap,
Laugh Now Cry Later,Drake,2022,5:02,Hip-Hop /Rap,
Take Care,Drake,2011,4:09,Hip-Hop /Rap,
One Dance,Drake,2016,2:53,Hip-Hop /Rap,
Rich Flex,Drake,2022,3:59,Hip-Hop /Rap,
Jimmy Cooks,Drake,2022,3:38,Hip-Hop /Rap,
What's Next,Drake,2021,2:58,Hip-Hop /Rap,
Sticky,Drake,2022,4:03,Hip-Hop /Rap,
Mockingbrid,Eminem,2004,4:44,Hip-Hop /Rap,
Rap God,Eminem,2013,6:03,Hip-Hop /Rap,
The Real Slim Shady,Eminem,2000,4:44,Hip-Hop /Rap,
My Name is,Eminem,1999,4:28,Hip-Hop /Rap,
Godzilla,Eminem,2020,3:30,Hip-Hop /Rap,
The Way Iam,Eminem,2000,4:50,Hip-Hop /Rap,
Without Me,Eminem,2002,4:50,Hip-Hop /Rap,
Not Afraid,Eminem,2010,4:08,Hip-Hop /Rap,
Sing For The Moment,Eminem,2002,5:39,Hip-Hop /Rap,
Venom,Eminem,2018,4:29,Hip-Hop /Rap,
Hit 'Em Up,2pac,1996,5:12,R&B/Hip-Hop Soul,
Ambitionz Az A Ridah,2pac,1995,4:38,R&B/Hip-Hop Soul,
Do for Love,2pac,1998,4:41,R&B/Hip-Hop Soul,
Keep Ya Head Up,2pac,1992,4:22,R&B/Hip-Hop Soul,
Dear Mama,2pac,1995,4:40,Hip-Hop /Rap,
So Many Tears,2pac,1995,3:59,Hip-Hop /Rap,
Changes,2pac,1998,4:28,Hip-Hop /Rap,
I Ain't Mad At Cha,2pac,1996,4:53,R&B/Hip-Hop Soul,
Only God Can Judge Me,2pac,1996,4:56,R&B/Hip-Hop Soul,
Thug 4life,2pac,1994,2:53,Hip-Hop /Rap,
Doja Cat,Central Cee,2022,1:37,UK Drill,
Loading,Central Cee,2020,2:53,UK Drill,
Day in The Life,Central Cee,2021,3:08,UK Drill,
LA Leakers Freestyle,Central Cee,2022,2:58,UK Drill,
One Up,Central Cee,2022,2:40,UK Drill,
Chapters,Central Cee,2022,1:54,UK Drill,
Mrs,Central Cee,2022,2:28,UK Drill,
6 for 6,Central Cee,2021,2:28,UK Drill,
LET GO,Central Cee,2022,2:54,UK Drill,
No Pain,Central Cee,2020,1:34,UK Drill,
