TITLE,ARTIST,RELEASE YEAR,DURATION,GENRE,url
Tum Hi Ho,Arijit Singh,2013,4:21,Indian Film Pop,
Jaan Nisaar,Arijit Singh,2018,3:58,Indian Film Pop,
Ajab si,KK,2007,4:01,Indian Film Pop,
Kya Mujhe pyar hai,KK,2006,4:26,Indian Film Pop,
Yeh Fitoor mera,Arijit Singh,2016,4:43,Indian Film Pop,
Tu Jo Mila,KK,2015,4:02,Indian Film Pop,
Dil Kyun Yeh Mera,KK,2010,5:33,Indian Film Pop,
Khairiyat,Arijit Singh ,2019,4:40,Indian Film Pop,
Ae Watan,Arijit Singh,2022,3:43,Indian Film Pop,
Tera Yaar Hoon Main,"Arijit Singh ,Rochak Kohli",2018,4:24,Indian Music,
Ve Maahi,Arijit Singh,2019,3:43,Indian Film Pop,
Agar Tum Saath Ho ,"Arijit Singh ,Alka Yagnik",2015,5:41,Indian Film Pop,
Main Dhondne ko Zamaane Mein,Arijit Singh,2014,4:22,Indian Film Pop,
Humdard,Arijit Singh,2014,4:20,Indian Film Pop,
Zara Sa,KK,2008,5:03,Indian Film Pop,
Dil Ibaadat,KK,2009,5:29,Indian Film Pop,
Such Keh Raha Hai,KK,2001,5:28,Indian Music,
Haan Tu Hain,KK,2008,5:24,Indian Music,
Jannatein Kahan,KK,2012,3:48,Indian Film Pop,
Aashayein,KK,2005,4:20,Indian Film Pop,
Jab Tak,Armaan Malik,2016,2:54,Indian Film Pop,
Wajah Tum Ho,Armaan Malik,2015,5:57,Indian Film Pop,
Chale Aana,Armaan Malik,2019,4:31,Indian Music,
Tootey Khaab,Armaan Malik,2019,3:29,Indian Music,
Besabriyaan,Armaan Malik,2016,4:15,Indian Film Pop,
Pehla Pyaar,Armaan Malik,2019,4:45,Indian Film Pop,
Kaun Tujhe,Armaan Malik,2016,2:40,Indian Film Pop,
De Taali,Armaan Malik,2022,3:27,Indian Film Pop,
Buddhu Sa Mann,Armaan Malik,2016,3:50,Indian Film Pop,
Tere Mere,Armaan Malik,2017,6:02,Indian Film Pop,
Tu Jaane Na,Atif Aslam,2009,5:14,Indian Film Pop,
Jeena Jeena,Atif Aslam,2014,3:48,Indian Film Pop,
Tera Sang Yaara,Atif Aslam,2016,4:46,Indian Film Pop,
Dil Meri Na Sune,Atif Aslam,2018,3:56,Pop,
Rafta Rafta,Atif Aslam,2021,3:23,Pop,
O Sathi,Atif Aslam,2018,4:11,Indian Music,
Main Agar,Atif Aslam,2017,4:39,Indian Film Pop,
Tu Chahiye,Atif Aslam,2015,4:32,Indian Film Pop,
Aadat,Atif Aslam,2003,5:33,Indian Film Pop,
Dil Diyan Gallan,Atif Aslam,2017,4:20,Indian Film Pop,
Pal Pal Dil Ke Pass,Kishore Kumar,1973,5:28,Indian Film Pop,
Yeh Sham Mastani,Kishore Kumar,1971,4:36,Indian Film Pop,
Chhu Kar Mere Manko,Kishore Kumar,1981,4:12,Indian Film Pop,
Yeh Jo Mohabaat hai,Kishore Kumar,1970,4:07,Indian Film Pop,
Neele Neele Ambar Par,Kishore Kumar,1983,5:20,Indian Film Pop,
Phoolon Ke Rang Se,Kishore Kumar,1970,5:06,Indian Film Pop,
O Mera Dil Ke Chain,Kishore Kumar,1983,4:34,Indian Film Pop,
Agar Tum Na Hote,Kishore Kumar,1983,4:09,Indian Film Pop,
Mere Sapnon Ki Rani,Kishore Kumar,1969,5:00,Indian Film Pop,
Zindagi Ka Safar,Kishore Kumar,1971,3:59,Indian Film Pop,
