TITLE,ARTIST,RELEASE YEAR,DURATION,GENRE,URL
Cholla Cholla,Sathyaprakash,2022,3:39,Indian Film Pop,
Paadatha Pattellam,Sathyaprakash,2023,4:47,Indian Film Pop,
Nallai Alli,Sathyaprakash,2017,3:59,Indian Film Pop,
Morrattu Single,Sathyaprakash,2019,3:06,Indian Film Pop,
Vizhiye kalangathey,Sathyaprakash,2018,4:25,Indian Film Pop,
Rakshamam,Sathyaprakash,2022,5:58,Indian Film Pop,
Azhaga Azhaga,Sathyaprakash,2022,6:05,Indian Film Pop,
Jagadeeshwari,Sathyaprakash,2022,6:54,Indian Film Pop,
Shanmuga Kandanum,Sathyaprakash,2022,7:05,Indian Film Pop,
Mahadeva Shivashambo,Sathyaprakash,2022,6:41,Indian Film Pop,
Thunbam Nergayil,Sathyaprakash,2022,6:07,Indian Film Pop,
Devadhi Devarpugazh,Sathyaprakash,2022,4:33,Indian Film Pop,
Jimkki Ponnu,Jonita Gandhi,2022,3:44,Indian Film Pop,
Halamaithi Habibo,Jonita Gandhi,2022,4:39,Indian Film Pop,
Private Party,Jonita Gandhi,2022,3:36,Indian Film Pop,
Chellama,Jonita Gandhi,2021,3:56,Indian Film Pop,
Mental Manadhil,Jonita Gandhi,2015,3:25,Indian Film Pop,
Ma Ma Mahesh,Jonita Gandhi,2022,4:06,Indian Film Pop,
Idhu Naal,Jonita Gandhi,2020,3:39,Indian Film Pop,
Marandhaye,Jonita Gandhi,2020,4:59,Indian Film Pop,
Yevevo,Jonita Gandhi,2017,4:53,Indian Film Pop,
Chittemma,Jonita Gandhi,2021,3:56,Indian Film Pop,
Nee Pogum,Sreejith Edavana,2021,3:48,Indian Film Pop,
Kaadhal En Kaviye,Sreejith Edavana,2021,5:11,Indian Film Pop,
Mahishasuran,Sreejith Edavana,2022,3:43,Indian Film Pop,
Vizhi Mooda Iravum,Sreejith Edavana,2022,2:37,Indian Film Pop,
Kathode,Sreejith Edavana,2022,3:20,Indian Film Pop,
Thenmozhi,Dhanush,2022,2:53,Indian Film Pop,
Megham Karukatha,Dhanush,2022,4:50,Indian Film Pop,
Mayakkama Kalakkama,Dhanush,2022,2:22,Indian Film Pop,
Kanner Sindha,Dhanush,2022,3:43,Indian Film Pop,
Po Indru Neeyaga,Dhanush,2016,3:43,Indian Film Pop,
What a Karavaad,Dhanush,2016,4:27,Indian Film Pop,
Amma Amma,Dhanush,2016,5:04,Indian Film Pop,
Thaai Kelavi,Dhanush,2022,4:18,Indian Film Pop,
Vaathi,Dhanush,2023,3:43,Indian Film Pop,
Masraaru Mastaaru,Dhanush,2023,3:44,Indian Film Pop,
Angry Kannamma,Vivek-Mervin,2022,3:26,Indian Film Pop,
Jai Sulthan,Vivek-Mervin,2021,4:05,Indian Film Pop,
Andhame Athivai,Vivek-Mervin,2021,4:48,Indian Film Pop,
Elaa Unnamu Memu,Vivek-Mervin,2021,4:32,Indian Film Pop,
Santhosham,Vivek-Mervin,2021,5:00,Indian Film Pop,
Neeyae Acapella,Vivek-Mervin,2020,3:24,Indian Film Pop,
Kallathone,Vivek-Mervin,2019,4:56,Indian Film Pop,
Inkem Korika,Vivek-Mervin,2019,3:52,Indian Film Pop,
Akaligonna,Vivek-Mervin,2019,4:06,Indian Film Pop,
Sannajaji Nuvve,Vivek-Mervin,2019,4:17,Indian Film Pop,
